entity_type,entity,date,severity,score_combined_norm,rank_combined,score_isolation_forest,score_lof,rank_isolation_forest,rank_lof,top_contributors,contrib1_feature,contrib1_z,contrib1_value,contrib1_baseline_median,contrib2_feature,contrib2_z,contrib2_value,contrib2_baseline_median,contrib3_feature,contrib3_z,contrib3_value,contrib3_baseline_median,contrib4_feature,contrib4_z,contrib4_value,contrib4_baseline_median,contrib5_feature,contrib5_z,contrib5_value,contrib5_baseline_median
user,user051,2025-12-31,critical,0.9132035612897703,1.5,0.06571737882965623,0.6502566330692763,2.0,1.0,"siem_business_share:-5.83 (v=0, base=0); pan_business_share:-5.82 (v=0, base=0); pan_unique_name:-5.29 (v=0, base=1); siem_unique_destination_addr:-5.26 (v=3, base=22); siem_unique_source_process:-4.72 (v=2, base=6)",siem_business_share,-5.834946023190333,0.0186915887850467,0.4784428229572826,pan_business_share,-5.8216153036909475,0.0,0.42935149222803015,pan_unique_name,-5.291502622129181,0.0,1.0,siem_unique_destination_addr,-5.2610279239174425,3.0,22.5,siem_unique_source_process,-4.721435316336167,2.0,5.5
user,user096,2025-12-31,high,0.417424690379809,4.0,-0.06743520316005963,0.07089666502767611,6.0,2.0,"siem_events_total:-4.60 (v=711, base=6270); siem_night_share:+3.67 (v=0, base=0); pan_share_of_all_events:+3.66 (v=1, base=0); siem_unique_destination_addr:-3.54 (v=6, base=16); pan_unique_destination_addr:-2.97 (v=94, base=369)",siem_events_total,-4.603844539361733,711.0,6270.5,siem_night_share,3.6741068098971357,0.4008438818565401,0.21005397935354675,pan_share_of_all_events,3.6607677851828964,0.626379400945875,0.35830791085078484,siem_unique_destination_addr,-3.5410764872521248,6.0,16.5,pan_unique_destination_addr,-2.9677593416970187,94.0,369.0
user,user042,2025-12-31,high,0.5795475204139023,6.0,0.11505578403640548,-0.28113843172963815,1.0,11.0,"siem_unique_source_process:-18.55 (v=0, base=55); siem_business_share:-11.28 (v=0, base=1); siem_unique_destination_addr:-7.42 (v=1, base=18); siem_events_total:-7.15 (v=6, base=2672); siem_unique_name:-6.74 (v=1, base=6)",siem_unique_source_process,-18.548495885606368,0.0,55.0,siem_business_share,-11.277431646440265,0.0,0.7596846633184202,siem_unique_destination_addr,-7.419398354242547,1.0,17.5,siem_events_total,-7.148529301729083,6.0,2671.5,siem_unique_name,-6.7449075947659525,1.0,6.0
user,user001,2025-12-31,low,0.15816209128780295,15.5,-0.14618089941690776,-0.1965528428909853,24.0,7.0,"siem_unique_destination_addr:-12.14 (v=5, base=23); siem_unique_source_process:-5.59 (v=1, base=30); siem_events_total:-5.48 (v=3495, base=10542); pan_unique_destination_addr:-2.15 (v=188, base=382); siem_unique_event_class:-2.02 (v=7, base=10)",siem_unique_destination_addr,-12.140833670578713,5.0,23.0,siem_unique_source_process,-5.588637721377503,1.0,30.0,siem_events_total,-5.482668543726995,3495.0,10542.5,pan_unique_destination_addr,-2.1451017596468764,188.0,382.0,siem_unique_event_class,-2.023472278429786,7.0,10.0
user,user040,2025-12-31,low,0.12240921812021618,15.5,-0.13035342838745168,-0.3374334885859067,16.0,15.0,"siem_unique_event_class:+6.07 (v=17, base=8); siem_unique_name:+3.71 (v=20, base=9); pan_unique_hours:+1.04 (v=24, base=14); siem_events_total:+0.65 (v=5471, base=4714); siem_night_share:+0.56 (v=0, base=0)",siem_unique_event_class,6.070416835289357,17.0,8.0,siem_unique_name,3.7096991771212737,20.0,9.0,pan_unique_hours,1.0376780915024542,24.0,14.0,siem_events_total,0.6487795488231036,5471.0,4714.0,siem_night_share,0.5603384270317029,0.2323158471942972,0.19734608656728725
user,user047,2025-12-31,low,0.40574649045331745,16.0,0.05479375320637925,-0.4313031061435928,3.0,29.0,"siem_business_share:-17.52 (v=0, base=1); siem_unique_source_process:-16.86 (v=0, base=50); siem_events_total:-9.06 (v=0, base=2674); siem_unique_destination_addr:-7.42 (v=0, base=16); siem_unique_hours:-6.74 (v=0, base=10)",siem_business_share,-17.517650244830552,0.0,0.8072596970908728,siem_unique_source_process,-16.86226898691488,0.0,50.0,siem_events_total,-9.064952443317356,0.0,2674.5,siem_unique_destination_addr,-7.419398354242547,0.0,16.5,siem_unique_hours,-6.7449075947659525,0.0,10.0
user,user008,2025-12-31,low,0.10614301185893538,18.0,-0.1448235973881602,-0.31707603548789565,23.0,13.0,"siem_events_total:-1.73 (v=8906, base=11336); siem_unique_event_class:-1.35 (v=6, base=8); siem_unique_destination_addr:-1.24 (v=15, base=20); pan_events_total:-1.20 (v=2125, base=4376); pan_share_of_all_events:-1.06 (v=0, base=0)",siem_events_total,-1.731097984063215,8906.0,11336.5,siem_unique_event_class,-1.3489815189531904,6.0,8.0,siem_unique_destination_addr,-1.2365663923737578,15.0,20.5,pan_events_total,-1.199065096692897,2125.0,4376.5,pan_share_of_all_events,-1.062464779073253,0.1926389266612274,0.26260956344298236
user,user038,2025-12-31,low,0.10874393213742777,18.0,-0.15412112075360723,-0.27508169004001615,26.0,10.0,"siem_unique_destination_addr:-2.70 (v=11, base=15); siem_unique_source_process:-2.14 (v=16, base=26); siem_unique_event_class:-2.02 (v=6, base=9); pan_night_share:+1.68 (v=0, base=0); siem_night_share:+1.64 (v=0, base=0)",siem_unique_destination_addr,-2.697963037906381,11.0,15.0,siem_unique_source_process,-2.135887405009218,16.0,25.5,siem_unique_event_class,-2.023472278429786,6.0,9.0,pan_night_share,1.6791796285136944,0.2577388963660834,0.1568106895806312,siem_night_share,1.6354445298021163,0.2262818544673012,0.15277922144597575
user,user005,2025-12-31,low,0.11158456006759168,18.5,-0.12505934506416644,-0.3820437004917623,15.0,22.0,"siem_night_share:+4.31 (v=0, base=0); siem_unique_source_process:-3.13 (v=12, base=38); siem_events_total:-3.05 (v=5625, base=12055); siem_unique_destination_addr:-2.70 (v=14, base=22); siem_unique_category:+2.64 (v=2, base=1)",siem_night_share,4.312685098305593,0.2336,0.11574283384145505,siem_unique_source_process,-3.127184430300578,12.0,37.5,siem_events_total,-3.050985285567715,5625.0,12055.0,siem_unique_destination_addr,-2.697963037906381,14.0,22.0,siem_unique_category,2.6381811916545845,2.0,1.0
user,user046,2025-12-31,low,0.09242726493753287,18.5,-0.13645502223192663,-0.38007203617525676,17.0,20.0,"siem_unique_source_process:-1.31 (v=12, base=28); siem_business_share:-1.07 (v=0, base=0); siem_night_share:+0.71 (v=0, base=0); siem_unique_destination_addr:-0.67 (v=7, base=11); siem_unique_event_class:-0.67 (v=4, base=5)",siem_unique_source_process,-1.3068258464859033,12.0,27.5,siem_business_share,-1.0732597150401786,0.386001386001386,0.4928685725922779,siem_night_share,0.7148983234979234,0.2453222453222453,0.19353716476943855,siem_unique_destination_addr,-0.6744907594765952,7.0,11.0,siem_unique_event_class,-0.6744907594765952,4.0,5.0
